"id","name","age","potential","body_type","value","wage"
"58","Ederson","24","90","Normal","41500000","125000"
"59","S. Mané","26","87","Lean","52000000","195000"
"60","V. van Dijk","26","88","Normal","44500000","165000"
"61","R. Sterling","23","89","Lean","56500000","195000"
"62","Roberto Firmino","26","87","Lean","53000000","195000"
"63","R. Varane","25","91","Lean","50000000","210000"
"64","M. Verratti","25","89","Normal","55000000","135000"
"65","Alex Sandro","27","86","Normal","36500000","160000"
"66","Douglas Costa","27","86","Normal","46500000","175000"
"67","T. Müller","28","86","Lean","45000000","135000"
"68","Thiago","27","86","Normal","45500000","130000"
"69","M. Reus","29","86","Lean","43500000","100000"
"70","Azpilicueta","28","86","Normal","35000000","175000"
"71","L. Bonucci","31","86","Lean","30000000","160000"
"72","T. Alderweireld","29","87","Normal","39000000","150000"
"73","M. Pjanić","28","86","Normal","44000000","180000"
"74","M. Benatia","31","86","Normal","30000000","160000"
"75","M. Özil","29","86","Lean","43500000","190000"
"76","Fernandinho","33","86","Lean","18000000","185000"
"77","Iniesta","34","86","Normal","21500000","21000"
"78","M. Škriniar","23","92","Normal","46500000","82000"
"79","S. Milinković-Savić","23","90","Normal","50500000","73000"
"80","Marco Asensio","22","92","Normal","54000000","215000"
"81","N. Fekir","24","89","Stocky","50000000","92000"
"82","Alisson","25","90","Normal","36500000","115000"
"83","J. Kimmich","23","88","Lean","40500000","92000"
"84","Saúl","23","90","Lean","50500000","77000"
"85","R. Mahrez","27","85","Lean","40500000","205000"
"86","D. Alaba","26","87","Lean","38000000","110000"
"87","Koke","26","86","Normal","45000000","88000"
"88","A. Lacazette","27","86","Normal","45000000","180000"
"89","K. Manolas","27","87","Normal","37500000","96000"
"90","N. Otamendi","30","85","Normal","28500000","170000"
"91","Parejo","29","85","Lean","37000000","66000"
"92","Paulinho","29","85","Lean","37000000","235000"
"93","W. Szczęsny","28","87","Lean","32000000","125000"
"94","A. Sánchez","29","85","Normal","37500000","215000"
"95","Y. Brahimi","28","85","Normal","39000000","28000"
"96","J. Boateng","29","85","Stocky","30000000","115000"
"97","A. Vidal","31","85","Normal","26000000","205000"
"98","I. Perišić","29","85","Lean","37500000","110000"
"99","E. Džeko","32","85","Lean","30500000","115000"
"100","S. Khedira","31","85","Normal","33000000","160000"
"101","Diego Costa","29","85","Normal","38500000","100000"
"102","R. Nainggolan","30","85","Stocky","35500000","105000"
"103","Naldo","35","85","Lean","9000000","38000"
"104","B. Matuidi","31","85","Lean","26000000","145000"
"105","Miranda","33","85","Lean","15500000","96000"
"106","K. Benzema","30","85","Normal","37000000","240000"
"107","Filipe Luís","32","85","Lean","21500000","81000"
"108","V. Kompany","32","85","Normal","22000000","170000"
"109","Pepe","35","85","Lean","9000000","57000"
"110","Z. Ibrahimović","36","85","Normal","14000000","15000"
"111","D. Sánchez","22","88","Normal","34000000","105000"
"112","J. Giménez","23","88","Normal","34000000","63000"
"113","Alex Telles","25","87","Lean","32000000","22000"
"114","A. Laporte","24","88","Normal","34000000","135000"
"115","Bruno Fernandes","23","88","Lean","40500000","22000"
"116","N. Süle","22","90","Stocky","36500000","84000"
"117","A. Martial","22","90","Normal","42500000","165000"
"118","D. Alli","22","90","Lean","42500000","115000"
"119","Fabinho","24","88","Lean","34000000","120000"
"120","Marquinhos","24","89","Lean","35500000","90000"
"121","William Carvalho","26","86","Normal","31500000","38000"
"122","Jorginho","26","87","Lean","38000000","155000"
"123","F. Thauvin","25","87","Normal","39000000","72000"
"124","Carvajal","26","87","Stocky","31500000","185000"
"125","M. Depay","24","89","Stocky","42000000","93000"
"126","H. Son","25","85","Lean","37000000","125000"
"127","A. Lopes","27","86","Normal","25000000","72000"
"128","S. de Vrij","26","86","Normal","31500000","88000"
"129","M. Perin","25","89","Lean","29500000","105000"
"130","J. Cuadrado","30","84","Lean","29500000","150000"
"131","Iago Aspas","30","84","Lean","30000000","45000"
"132","B. Leno","26","87","Normal","27000000","115000"
"133","N. Matić","29","84","Lean","24000000","165000"
"134","L. Hrádecký","28","84","Lean","22000000","74000"
"135","Illarramendi","28","84","Normal","31000000","51000"
"136","K. Walker","28","84","Normal","24500000","165000"
"137","I. Gündoğan","27","84","Normal","32000000","175000"
"138","José Callejón","31","84","Lean","27500000","105000"
"139","A. Di María","30","84","Lean","29500000","125000"
"140","M. Mandžukić","32","84","Lean","25000000","160000"
"141","Willian","29","84","Lean","30500000","175000"
"142","Sergio Asenjo","29","85","Stocky","24000000","42000"
"143","E. Banega","30","84","Normal","29000000","31000"
"144","A. Witsel","29","84","Lean","24000000","77000"
"145","D. Payet","31","84","Normal","27500000","75000"
"146","Jonas","34","84","Lean","16500000","25000"
"147","Sokratis","30","84","Normal","23000000","140000"
"148","S. Ruffier","31","84","Stocky","19000000","41000"
"149","Falcao","32","84","Normal","25000000","115000"
"150","K. Schmeichel","31","84","Stocky","19000000","78000"
"151","Raúl Albiol","32","84","Lean","18000000","88000"
"152","A. Gómez","30","84","Normal","30000000","53000"
"153","A. Barzagli","37","84","Normal","4200000","95000"
"154","Quaresma","34","84","Normal","15500000","80000"
"155","A. Robben","34","84","Normal","15500000","110000"
"156","O. Dembélé","21","92","Lean","40000000","155000"
"157","Gabriel Jesus","21","92","Normal","41000000","130000"
"158","Ronaldo Cabrais","26","83","Normal","28000000","51000"
"159","Josué Chiamulera","26","83","Normal","22500000","43000"
"160","Louri Beretta","26","83","Normal","28500000","60000"
"161","P. Kimpembe","22","89","Normal","30500000","82000"
"162","N. Keïta","23","88","Lean","34000000","120000"
"163","C. Tolisso","23","88","Normal","34000000","85000"
"164","T. Lemar","22","89","Lean","35500000","64000"
"165","K. Coman","22","87","Lean","34000000","85000"
"166","J. Tah","22","88","Stocky","29500000","67000"
"167","Anderson Talisca","24","90","Normal","36500000","18000"
"168","T. Werner","22","87","Normal","34500000","70000"
"169","A. Rabiot","23","87","Lean","33000000","91000"
"170","L. Goretzka","23","88","Lean","34000000","85000"
"171","Q. Promes","26","84","Lean","30500000","28000"
"172","H. Ziyech","25","86","Lean","32500000","28000"
"173","Lucas Vázquez","27","83","Normal","27000000","205000"
"174","Y. Carrasco","24","86","Lean","33000000","20000"
"175","Gerard Moreno","26","85","Lean","32000000","53000"
"176","Felipe","29","83","Normal","20000000","22000"
"177","M. Kovačić","24","89","Normal","35000000","165000"
"178","Kepa","23","91","Lean","28500000","84000"
"179","Manu Trigueros","26","84","Lean","30000000","49000"
"180","S. Gnabry","22","88","Normal","34500000","85000"
"181","J. Pickford","24","88","Normal","25000000","78000"
"182","S. Savić","27","86","Lean","26000000","67000"
"183","J. Stones","24","87","Lean","28500000","125000"
"184","Suso","24","86","Lean","33000000","115000"
"185","J. Draxler","24","86","Lean","32500000","91000"
"186","Felipe Anderson","25","85","Normal","31500000","110000"
"187","Lucas Moura","25","84","Normal","31000000","115000"
"188","Danilo Pereira","26","86","Normal","27000000","21000"
"189","Nacho Fernández","28","85","Normal","24500000","180000"
"190","T. Horn","25","87","Normal","24000000","25000"
"191","Allan","27","83","Normal","26500000","87000"
"192","F. Acerbi","30","83","Normal","19000000","64000"
"193","Sergi Roberto","26","86","Normal","26500000","170000"
"194","Rodrigo","27","84","Lean","30500000","57000"
"195","Pizzi","28","83","Lean","25500000","22000"
"196","K. Kampl","27","83","Lean","26500000","74000"
"197","Neto","28","84","Lean","21000000","41000"
"198","O. Baumann","28","84","Normal","21000000","42000"
"199","I. Gueye","28","83","Lean","21000000","125000"
"200","H. Mkhitaryan","29","83","Normal","25500000","145000"
"201","Marcos Alonso","27","84","Lean","24000000","130000"
"202","D. Subašić","33","83","Normal","13000000","70000"
"203","K. Glik","30","83","Normal","19000000","86000"
"204","K. Strootman","28","83","Normal","21000000","66000"
"205","B. Dost","29","83","Lean","26000000","26000"
"206","Oscar","26","84","Lean","30500000","29000"
"207","M. Balotelli","27","83","Normal","27500000","55000"
"208","Luiz Gustavo","30","83","Lean","19000000","63000"
"209","Giuliano","28","83","Stocky","26000000","64000"
"210","David Luiz","31","83","Normal","17500000","130000"
"211","R. Fährmann","29","84","Normal","20000000","38000"
"212","Juan Mata","30","83","Lean","24500000","160000"
"213","Adán","31","83","Normal","15500000","55000"
"214","Rui Patrício","30","83","Normal","16500000","74000"
"215","Y. Sommer","29","84","Normal","20000000","35000"
"216","Javi Martínez","29","83","Normal","20000000","94000"
"217","L. Bender","29","83","Lean","20000000","82000"
"218","Lucas Leiva","31","83","Normal","17500000","64000"
"219","S. Mandanda","33","83","Normal","13000000","51000"
"220","Cesc Fàbregas","31","83","Normal","22000000","140000"
"221","M. Dembélé","30","83","Normal","24000000","120000"
"222","F. Ribéry","35","83","Normal","11500000","72000"
"223","R. Jarstein","33","83","Normal","13000000","33000"
"224","D. De Rossi","34","83","Normal","8000000","80000"
"225","Pepe Reina","35","83","Normal","6000000","56000"
"226","J. Pavlenka","26","85","Lean","19500000","30000"
"227","M. de Ligt","18","91","Normal","27000000","11000"
"228","Rodri","22","87","Lean","29000000","59000"
"229","Arthur","21","90","Normal","32500000","125000"
"230","G. Donnarumma","19","93","Normal","29000000","23000"
"231","Rosberto Dourado","30","82","Lean","16500000","46000"
"232","Juiano Mestres","34","82","Normal","6500000","39000"
"233","Raphaelito Anjos","30","82","Normal","14000000","32000"
"234","Gelson Martins","23","87","Lean","29500000","59000"
"235","Gonçalo Guedes","21","86","Normal","29000000","36000"
"236","L. Torreira","22","87","Normal","25000000","98000"
"237","Malcom","21","89","Normal","31500000","140000"
"238","Pau López","23","87","Lean","21500000","21000"
"239","L. Hernández","22","88","Normal","25500000","53000"
"240","C. Lenglet","23","88","Lean","26000000","135000"
"241","A. Kramarić","27","83","Normal","26000000","54000"
"242","A. Robertson","24","87","Lean","24500000","98000"
"243","Dani García","28","83","Stocky","20000000","33000"
"244","F. Bernardeschi","24","87","Lean","29500000","110000"
"245","J. Brandt","22","88","Lean","30500000","68000"
"246","D. Rugani","23","86","Lean","24500000","95000"
"247","Samu Castillejo","23","86","Lean","29000000","94000"
"248","João Cancelo","24","88","Lean","25500000","95000"
"249","A. Romagnoli","23","89","Normal","26500000","84000"
"250","T. Partey","25","88","Lean","25500000","59000"
"251","Fred","25","84","Lean","26500000","140000"
"252","J. Vardy","31","82","Lean","20000000","96000"
"253","A. Belotti","24","87","Normal","30000000","58000"
"254","E. Forsberg","26","83","Normal","26000000","67000"
"255","J. Lingard","25","83","Lean","26500000","140000"
"256","F. Vázquez","29","82","Normal","21500000","27000"
"257","E. Višća","28","82","Lean","22500000","40000"
"258","A. Rüdiger","25","84","Lean","22500000","110000"
"259","A. Florenzi","27","83","Lean","20500000","73000"
"260","H. Maguire","25","85","Stocky","23500000","77000"
"261","T. Meunier","26","83","Normal","21000000","87000"
"262","S. Sané","27","82","Lean","18500000","41000"
"263","G. Kondogbia","25","85","Lean","27500000","46000"
"264","Rafinha","25","87","Normal","29500000","165000"
"265","Gabriel Paulista","27","83","Lean","21000000","44000"
"266","Morata","25","85","Normal","28500000","135000"
"267","J. Cillessen","29","84","Normal","18000000","135000"
"268","W. Ben Yedder","27","82","Normal","23500000","28000"
"269","C. Bakambu","27","83","Normal","26000000","33000"
"270","Pablo Sarabia","26","83","Normal","26000000","26000"
"271","W. Zaha","25","85","Lean","28500000","78000"
"272","Luis Alberto","25","85","Lean","28500000","67000"
"273","Jonathan Viera","28","82","Normal","22500000","31000"
"274","Bartra","27","83","Lean","21000000","32000"
"275","S. Coates","27","83","Normal","21000000","19000"
"276","Willian José","26","83","Normal","26500000","44000"
"277","Mário Fernandes","27","82","Lean","18500000","1000"
"278","Víctor Ruiz","29","83","Normal","19500000","43000"
"279","T. Delaney","26","83","Normal","21500000","61000"
"280","K. Casteels","26","85","Normal","19500000","46000"
"281","M. Götze","26","85","Normal","27000000","67000"
"282","S. Mustafi","26","84","Normal","22500000","115000"
"283","J. Pastore","29","82","Lean","21500000","84000"
"284","Pedro","30","82","Lean","21000000","140000"
"285","G. Bonaventura","28","82","Lean","22000000","115000"
"286","R. Bürki","27","85","Normal","18500000","50000"
"287","Taison","30","82","Lean","21000000","1000"
"288","S. Nzonzi","29","82","Lean","17000000","77000"
"289","Marlos","30","82","Normal","21000000","1000"
"290","A. Ramsey","27","83","Lean","25000000","130000"
"291","K. Trippier","27","82","Normal","18500000","99000"
"292","A. Kolarov","32","82","Normal","12500000","73000"
"293","G. Sigurðsson","28","82","Normal","22500000","125000"
"294","S. Giovinco","31","82","Normal","20000000","15000"
"295","M. Arnautović","29","82","Normal","22000000","120000"
"296","N. Gaitán","30","82","Lean","21000000","22000"
"297","J. Henderson","28","82","Normal","18000000","125000"
"298","M. Kruse","30","82","Normal","21500000","45000"
"299","M. Parolo","33","82","Lean","9000000","59000"
"300","L. Fejsa","29","82","Normal","17000000","18000"
"301","A. Rami","32","82","Normal","12500000","57000"
"302","V. Ćorluka","32","82","Normal","12500000","1000"
"303","G. Wijnaldum","27","82","Lean","23000000","130000"
"304","F. Fazio","31","82","Normal","15000000","73000"
"305","O. Giroud","31","82","Normal","20000000","140000"
"306","Marcano","31","82","Lean","15000000","73000"
"307","A. Guardado","31","82","Lean","19000000","35000"
"308","E. Garay","31","82","Normal","15000000","44000"
"309","Jardel","32","82","Normal","12500000","17000"
"310","S. Sirigu","31","82","Normal","13500000","45000"
"311","E. Viviano","32","82","Stocky","12500000","15000"
"312","L. Koscielny","32","82","Lean","12500000","115000"
"313","A. Consigli","31","82","Lean","13500000","52000"
"314","L. Biglia","32","82","Normal","12500000","98000"
"315","Dani Alves","35","82","Normal","4800000","62000"
"316","David Villa","36","82","Normal","8000000","12000"
"317","Aduriz","37","82","Normal","8000000","29000"
"318","P. Čech","36","82","Normal","3000000","60000"
"319","Casillas","37","82","Normal","1500000","10000"
"320","M. Rashford","20","89","Lean","27000000","110000"
"321","Laure Santeiro","30","81","Lean","17000000","40000"
"322","L. Bailey","20","89","Normal","26500000","54000"
"323","M. Akanji","22","87","Normal","21000000","49000"
"324","F. de Jong","21","89","Lean","26000000","19000"
"325","Nélson Semedo","24","86","Lean","20000000","125000"
"326","Pablo Fornals","22","86","Normal","24000000","36000"
"327","Fabián","22","89","Lean","26000000","64000"
"328","E. Bailly","24","87","Normal","21000000","105000"
"329","Dani Ceballos","21","88","Normal","25000000","120000"
"330","H. Lozano","22","86","Lean","24000000","22000"
"331","Morales","30","81","Lean","17000000","33000"
"332","J. Seri","26","82","Normal","20500000","73000"
"333","M. Politano","24","84","Normal","22500000","57000"
"334","M. Brozović","25","84","Lean","18500000","64000"
"335","Williams","24","87","Lean","24500000","31000"
"336","A. Correa","23","87","Lean","24500000","54000"
"337","A. Christensen","22","88","Lean","21500000","91000"
"338","João Mário","25","84","Normal","22500000","71000"
"339","T. Strakosha","23","86","Lean","17000000","36000"
"340","E. Hysaj","24","86","Normal","20000000","58000"
"341","P. Zieliński","24","88","Lean","24500000","64000"
"342","Ricardo Pereira","24","85","Lean","19000000","64000"
"343","Grimaldo","22","87","Normal","20500000","14000"
"344","R. Guerreiro","24","86","Normal","24000000","54000"
"345","A. Doucouré","25","85","Lean","19500000","60000"
"346","J. Martínez","25","84","Normal","22500000","14000"
"347","C. Bacca","31","81","Normal","16000000","45000"
"348","A. Plea","25","83","Stocky","22000000","40000"
"349","B. Davies","25","84","Lean","18500000","87000"
"350","M. Nastasić","25","84","Normal","18500000","36000"
"351","A. Milik","24","88","Lean","25500000","71000"
"352","M. Sabitzer","24","84","Normal","22500000","54000"
"353","B. Mendy","23","86","Normal","20000000","105000"
"354","C. Kramer","27","82","Lean","17000000","35000"
"355","S. Vrsaljko","26","84","Lean","18000000","57000"
"356","T. Hazard","25","83","Lean","21500000","40000"
"357","K. Bellarabi","28","81","Normal","18000000","76000"
"358","S. Zaza","27","82","Normal","21000000","48000"
"359","F. Ghoulam","27","82","Normal","16500000","68000"
"360","B. Lecomte","27","84","Normal","15000000","27000"
"361","J. Iličić","30","81","Lean","17000000","41000"
"362","K. Volland","25","83","Stocky","22000000","76000"
"363","Paco Alcácer","24","85","Normal","23500000","59000"
"364","Vitolo","28","81","Normal","18000000","65000"
"365","G. Xhaka","25","84","Normal","22000000","115000"
"366","D. Tadić","29","81","Normal","17500000","26000"
"367","C. Aránguiz","29","81","Lean","17000000","76000"
"368","S. Verdi","25","81","Lean","19500000","77000"
"369","D. Lovren","28","82","Normal","16000000","115000"
"370","G. Medel","30","81","Stocky","13000000","56000"
"371","X. Shaqiri","26","81","Shaqiri","19000000","130000"
"372","J. Corona","25","83","Normal","21500000","18000"
"373","A. Areola","25","85","Normal","16500000","61000"
"374","K. Vogt","26","82","Normal","17500000","42000"
"375","Ander Herrera","28","81","Lean","17500000","140000"
"376","E. Salvio","27","81","Stocky","18500000","19000"
"377","S. El Shaarawy","25","82","Lean","21000000","77000"
"378","C. Smalling","28","82","Lean","16000000","130000"
"379","Hulk","31","81","Stocky","15500000","25000"
"380","S. Kagawa","29","81","Lean","17500000","65000"
"381","M. Lanzini","25","85","Lean","23000000","90000"
"382","F. Smolov","28","81","Lean","18500000","1000"
"383","L. Stindl","29","81","Normal","18000000","43000"
"384","O. Toprak","28","82","Normal","16000000","59000"
"385","D. Perotti","29","81","Lean","17500000","84000"
"386","F. Muslera","32","81","Normal","10000000","52000"
"387","B. Höwedes","30","81","Normal","13000000","1000"
"388","S. Kjær","29","81","Normal","14000000","23000"
"389","S. Bender","29","81","Lean","14000000","69000"
"390","M. Valbuena","33","81","Normal","11000000","86000"
"391","Pedro León","31","81","Normal","15500000","32000"
"392","K. Boateng","31","81","Normal","15000000","65000"
"393","L. Piszczek","33","81","Normal","7000000","57000"
"394","A. Candreva","31","81","Normal","15500000","74000"
"395","D. Wass","29","81","Lean","17000000","46000"
"396","E. Lamela","26","82","Lean","21000000","105000"
"397","D. Rose","27","81","Normal","14500000","92000"
"398","C. Vela","29","81","Normal","17500000","15000"
"399","Renato Augusto","30","81","Normal","16500000","28000"
"400","A. Valencia","32","81","Stocky","10000000","120000"
"401","L. Fabiański","33","81","Normal","9000000","70000"
"402","João Moutinho","31","81","Normal","15000000","85000"
"403","Borja Valero","33","81","Normal","11000000","74000"
"404","F. Quagliarella","35","81","Normal","8000000","39000"
"405","B. Gomis","32","81","Normal","14000000","56000"
"406","Manuel Fernandes","32","81","Normal","14000000","1000"
"407","H. Herrera","28","81","Normal","17500000","20000"
"408","Raffael","33","81","Lean","11000000","41000"
"409","Nani","31","81","Lean","15500000","19000"
"410","J. Milner","32","81","Stocky","13500000","120000"
"411","J. Mathieu","34","81","Normal","5500000","18000"
"412","Joaquín","36","81","Normal","6000000","24000"
"413","M. Gómez","21","85","Stocky","20500000","25000"
"414","K. Havertz","19","89","Lean","22000000","32000"
"415","T. Ndombele","21","89","Normal","22500000","51000"
"416","H. Aouar","20","90","Lean","23500000","51000"
"417","Carlos Soler","21","87","Lean","21000000","31000"
"418","Odriozola","22","88","Lean","18500000","115000"
"419","M. Almirón","24","84","Lean","19500000","11000"
"420","Welington Dano","30","80","Lean","10500000","34000"
"421","Everton Andrão","34","80","Stocky","4500000","34000"
"422","Oyarzabal","21","87","Lean","21000000","29000"
"423","F. Balbuena","26","83","Normal","15500000","80000"
"424","M. Marega","27","80","Stocky","16000000","19000"
"425","B. Pavard","22","86","Lean","17500000","33000"
"426","W. Ndidi","21","85","Lean","17000000","50000"
"427","A. Onana","22","85","Stocky","14500000","14000"
"428","G. Lo Celso","22","86","Normal","20000000","72000"
"429","M. Acuña","26","80","Stocky","12500000","16000"
"430","Rúben Neves","21","87","Normal","20500000","59000"
"431","Mariano","24","85","Normal","20000000","140000"
"432","Raúl","28","80","Normal","12000000","19000"
"433","M. Caldara","24","86","Normal","17500000","73000"
"434","M. Vecino","26","81","Lean","14500000","63000"
"435","T. Bakayoko","23","85","Lean","17000000","85000"
"436","M. Dahoud","22","86","Lean","20000000","50000"
"437","Rafa","25","83","Lean","18500000","17000"
"438","K. Baldé","23","85","Normal","20000000","65000"
"439","G. Rulli","26","85","Lean","14000000","26000"
"440","F. Armani","31","80","Normal","9000000","22000"
"441","Rony Lopes","22","85","Stocky","20000000","65000"
"442","Santi Mina","22","85","Normal","20000000","40000"
"443","K. Demirbay","24","84","Lean","19500000","37000"
"444","Gayà","23","85","Lean","16500000","33000"
"445","André Gomes","24","85","Normal","19500000","130000"
"446","N. Tagliafico","25","82","Normal","15000000","20000"
"447","M. Sanson","23","85","Normal","19500000","47000"
"448","Pacheco","26","83","Normal","13000000","23000"
"449","E. Can","24","85","Normal","19500000","91000"
"450","H. Çalhanoğlu","24","84","Normal","19500000","89000"
"451","M. Ginter","24","82","Normal","15500000","28000"
"452","M. Keane","25","83","Normal","15500000","88000"
"453","L. Paredes","24","85","Normal","0","0"
"454","T. Stepanenko","28","80","Normal","12000000","1000"
"455","L. Shaw","22","85","Stocky","16500000","96000"
"456","Z. Feddal","28","80","Lean","12000000","29000"
"457","S. Haller","24","83","Normal","19000000","41000"
"458","Bernard","25","81","Lean","17500000","97000"
"459","T. Inui","30","80","Lean","14000000","30000"
"460","Portu","26","81","Normal","17500000","37000"
"461","M. Batshuayi","24","84","Normal","19500000","105000"
"462","E. Zahavi","30","80","Normal","14500000","24000"
"463","T. Vaclík","29","81","Normal","11500000","17000"
"464","N. Pope","26","83","Lean","13000000","48000"
"465","Héctor Bellerín","23","85","Lean","16500000","85000"
"466","P. Kadeřábek","26","81","Normal","14000000","39000"
"467","J. Butland","25","85","Normal","14000000","39000"
"468","J. Vestergaard","25","81","Normal","14500000","51000"
"469","J. Tarkowski","25","83","Normal","15500000","56000"
"470","Deulofeu","24","82","Normal","18500000","56000"
"471","E. Dier","24","84","Normal","16500000","73000"
"472","J. Murillo","26","84","Normal","16000000","38000"
"473","M. Badelj","29","80","Lean","11500000","53000"
"474","Ismaily","28","80","Stocky","11500000","1000"
"475","N. Schulz","25","81","Normal","14500000","37000"
"476","L. Digne","24","84","Lean","16000000","79000"
"477","M. Uth","26","81","Lean","17500000","42000"
"478","Cristian Tello","26","80","Lean","16000000","30000"
"479","D. Vida","29","80","Lean","11500000","55000"
"480","L. Muriel","27","81","Stocky","17500000","24000"
"481","V. Aboubakar","26","82","Normal","18000000","19000"
"482","A. Oxlade-Chamberlain","24","85","Stocky","19500000","94000"
"483","S. Aurier","25","83","Normal","15500000","82000"
"484","J. Matip","26","82","Lean","15000000","99000"
"485","Y. Rakitskyi","28","80","Normal","12000000","1000"
"486","Sergi Enrich","28","80","Stocky","15500000","34000"
"487","A. Yarmolenko","28","80","Lean","15000000","92000"
"488","Hugo Mallo","27","81","Normal","13500000","27000"
"489","André Almeida","27","80","Normal","12000000","15000"
"490","D. Didavi","28","80","Normal","15000000","44000"
"491","R. Rodríguez","25","83","Normal","15500000","81000"
"492","R. Pereyra","27","80","Lean","15500000","65000"
"493","Mario Gaspar","27","80","Normal","12000000","35000"
"494","Maicon","29","80","Normal","11500000","63000"
"495","D. Blind","28","80","Normal","12000000","22000"
"496","J. Zoet","27","83","Normal","12500000","16000"
"497","A. Ljajić","26","81","Lean","17500000","52000"
"498","Canales","27","80","Lean","15500000","30000"
"499","Iago Falqué","28","80","Normal","15000000","59000"
"500","L. de Jong","27","80","Normal","16000000","23000"
"501","Guaita","31","80","Normal","9000000","48000"
"502","Muniain","25","83","Normal","18500000","31000"
"503","Susaeta","30","80","Lean","14000000","33000"
"504","S. Rudy","28","80","Lean","12000000","37000"
"505","K. Trapp","27","81","Normal","11500000","61000"
"506","V. Wanyama","27","82","Normal","14500000","86000"
"507","N. Nkoulou","28","80","Lean","12000000","50000"
"508","R. Boudebouz","28","80","Lean","15000000","31000"
"509","Camacho","28","81","Lean","13500000","51000"
"510","S. Ulreich","29","80","Lean","10000000","61000"
"511","M. Musacchio","27","80","Normal","12500000","85000"
"512","C. Stuani","31","80","Lean","13500000","41000"
"513","P. Gulácsi","28","80","Normal","10500000","45000"
"514","Bruno","34","80","Normal","7000000","39000"
"515","F. Delph","28","80","Lean","11500000","120000"
"516","A. Lallana","30","80","Lean","13500000","110000"
"517","Marcelo","31","80","Normal","10000000","64000"
"518","S. Coleman","29","80","Normal","11000000","97000"
"519","Alexandre Pato","28","80","Normal","15500000","35000"
"520","Antunes","31","80","Normal","9500000","27000"
"521","Nacho Monreal","32","80","Lean","8000000","99000"
"522","Beñat","31","80","Normal","12500000","30000"
"523","A. Fernández","32","80","Lean","11000000","20000"
"524","K. Gameiro","31","80","Normal","13500000","45000"
"525","I. Piatti","33","80","Lean","9000000","13000"
"526","V. Birsa","31","80","Normal","13000000","23000"
"527","S. Romero","31","80","Normal","9000000","91000"
"528","D. Criscito","31","80","Normal","10000000","21000"
"529","D. Valeri","32","80","Lean","11500000","12000"
