Name,Age,Potential,Body Type,Value,Wage
Roberto Firmino,26,87,Lean,53000000.00,195000.00
R. Varane,25,91,Lean,50000000.00,210000.00
M. Verratti,25,89,Normal,55000000.00,135000.00
Alex Sandro,27,86,Normal,36500000.00,160000.00
Douglas Costa,27,86,Normal,46500000.00,175000.00
T. Müller,28,86,Lean,45000000.00,135000.00
Thiago,27,86,Normal,45500000.00,130000.00
M. Reus,29,86,Lean,43500000.00,100000.00
Azpilicueta,28,86,Normal,35000000.00,175000.00
L. Bonucci,31,86,Lean,30000000.00,160000.00
T. Alderweireld,29,87,Normal,39000000.00,150000.00
M. Pjanić,28,86,Normal,44000000.00,180000.00
M. Benatia,31,86,Normal,30000000.00,160000.00
M. Özil,29,86,Lean,43500000.00,190000.00
Fernandinho,33,86,Lean,18000000.00,185000.00
Iniesta,34,86,Normal,21500000.00,21000.00
M. Škriniar,23,92,Normal,46500000.00,82000.00
S. Milinković-Savić,23,90,Normal,50500000.00,73000.00
Marco Asensio,22,92,Normal,54000000.00,215000.00
N. Fekir,24,89,Stocky,50000000.00,92000.00
Alisson,25,90,Normal,36500000.00,115000.00
J. Kimmich,23,88,Lean,40500000.00,92000.00
Saúl,23,90,Lean,50500000.00,77000.00
R. Mahrez,27,85,Lean,40500000.00,205000.00
D. Alaba,26,87,Lean,38000000.00,110000.00
Koke,26,86,Normal,45000000.00,88000.00
A. Lacazette,27,86,Normal,45000000.00,180000.00
K. Manolas,27,87,Normal,37500000.00,96000.00
N. Otamendi,30,85,Normal,28500000.00,170000.00
Parejo,29,85,Lean,37000000.00,66000.00
Paulinho,29,85,Lean,37000000.00,235000.00
W. Szczęsny,28,87,Lean,32000000.00,125000.00
A. Sánchez,29,85,Normal,37500000.00,215000.00
Y. Brahimi,28,85,Normal,39000000.00,28000.00
J. Boateng,29,85,Stocky,30000000.00,115000.00
A. Vidal,31,85,Normal,26000000.00,205000.00
I. Perišić,29,85,Lean,37500000.00,110000.00
E. Džeko,32,85,Lean,30500000.00,115000.00
S. Khedira,31,85,Normal,33000000.00,160000.00
Diego Costa,29,85,Normal,38500000.00,100000.00
R. Nainggolan,30,85,Stocky,35500000.00,105000.00
Naldo,35,85,Lean,9000000.00,38000.00
B. Matuidi,31,85,Lean,26000000.00,145000.00
Miranda,33,85,Lean,15500000.00,96000.00
K. Benzema,30,85,Normal,37000000.00,240000.00
Filipe Luís,32,85,Lean,21500000.00,81000.00
V. Kompany,32,85,Normal,22000000.00,170000.00
Pepe,35,85,Lean,9000000.00,57000.00
Z. Ibrahimović,36,85,Normal,14000000.00,15000.00
D. Sánchez,22,88,Normal,34000000.00,105000.00
J. Giménez,23,88,Normal,34000000.00,63000.00
Alex Telles,25,87,Lean,32000000.00,22000.00
A. Laporte,24,88,Normal,34000000.00,135000.00
Bruno Fernandes,23,88,Lean,40500000.00,22000.00
N. Süle,22,90,Stocky,36500000.00,84000.00
A. Martial,22,90,Normal,42500000.00,165000.00
D. Alli,22,90,Lean,42500000.00,115000.00
Fabinho,24,88,Lean,34000000.00,120000.00
Marquinhos,24,89,Lean,35500000.00,90000.00
William Carvalho,26,86,Normal,31500000.00,38000.00
Jorginho,26,87,Lean,38000000.00,155000.00
F. Thauvin,25,87,Normal,39000000.00,72000.00
Carvajal,26,87,Stocky,31500000.00,185000.00
M. Depay,24,89,Stocky,42000000.00,93000.00
H. Son,25,85,Lean,37000000.00,125000.00
A. Lopes,27,86,Normal,25000000.00,72000.00
S. de Vrij,26,86,Normal,31500000.00,88000.00
M. Perin,25,89,Lean,29500000.00,105000.00
J. Cuadrado,30,84,Lean,29500000.00,150000.00
Iago Aspas,30,84,Lean,30000000.00,45000.00
B. Leno,26,87,Normal,27000000.00,115000.00
N. Matić,29,84,Lean,24000000.00,165000.00
L. Hrádecký,28,84,Lean,22000000.00,74000.00
Illarramendi,28,84,Normal,31000000.00,51000.00
K. Walker,28,84,Normal,24500000.00,165000.00
I. Gündoğan,27,84,Normal,32000000.00,175000.00
José Callejón,31,84,Lean,27500000.00,105000.00
A. Di María,30,84,Lean,29500000.00,125000.00
M. Mandžukić,32,84,Lean,25000000.00,160000.00
Willian,29,84,Lean,30500000.00,175000.00
Sergio Asenjo,29,85,Stocky,24000000.00,42000.00
E. Banega,30,84,Normal,29000000.00,31000.00
A. Witsel,29,84,Lean,24000000.00,77000.00
D. Payet,31,84,Normal,27500000.00,75000.00
Jonas,34,84,Lean,16500000.00,25000.00
Sokratis,30,84,Normal,23000000.00,140000.00
S. Ruffier,31,84,Stocky,19000000.00,41000.00
Falcao,32,84,Normal,25000000.00,115000.00
K. Schmeichel,31,84,Stocky,19000000.00,78000.00
Raúl Albiol,32,84,Lean,18000000.00,88000.00
A. Gómez,30,84,Normal,30000000.00,53000.00
A. Barzagli,37,84,Normal,4200000.00,95000.00
Quaresma,34,84,Normal,15500000.00,80000.00
A. Robben,34,84,Normal,15500000.00,110000.00
O. Dembélé,21,92,Lean,40000000.00,155000.00
Gabriel Jesus,21,92,Normal,41000000.00,130000.00
Ronaldo Cabrais,26,83,Normal,28000000.00,51000.00
Josué Chiamulera,26,83,Normal,22500000.00,43000.00
Louri Beretta,26,83,Normal,28500000.00,60000.00
P. Kimpembe,22,89,Normal,30500000.00,82000.00
N. Keïta,23,88,Lean,34000000.00,120000.00
C. Tolisso,23,88,Normal,34000000.00,85000.00
T. Lemar,22,89,Lean,35500000.00,64000.00
K. Coman,22,87,Lean,34000000.00,85000.00
J. Tah,22,88,Stocky,29500000.00,67000.00
Anderson Talisca,24,90,Normal,36500000.00,18000.00
T. Werner,22,87,Normal,34500000.00,70000.00
A. Rabiot,23,87,Lean,33000000.00,91000.00
L. Goretzka,23,88,Lean,34000000.00,85000.00
Q. Promes,26,84,Lean,30500000.00,28000.00
H. Ziyech,25,86,Lean,32500000.00,28000.00
Lucas Vázquez,27,83,Normal,27000000.00,205000.00
Y. Carrasco,24,86,Lean,33000000.00,20000.00
Gerard Moreno,26,85,Lean,32000000.00,53000.00
Felipe,29,83,Normal,20000000.00,22000.00
M. Kovačić,24,89,Normal,35000000.00,165000.00
Kepa,23,91,Lean,28500000.00,84000.00
Manu Trigueros,26,84,Lean,30000000.00,49000.00
S. Gnabry,22,88,Normal,34500000.00,85000.00
J. Pickford,24,88,Normal,25000000.00,78000.00
S. Savić,27,86,Lean,26000000.00,67000.00
J. Stones,24,87,Lean,28500000.00,125000.00
Suso,24,86,Lean,33000000.00,115000.00
J. Draxler,24,86,Lean,32500000.00,91000.00
Felipe Anderson,25,85,Normal,31500000.00,110000.00
Lucas Moura,25,84,Normal,31000000.00,115000.00
Danilo Pereira,26,86,Normal,27000000.00,21000.00
Nacho Fernández,28,85,Normal,24500000.00,180000.00
T. Horn,25,87,Normal,24000000.00,25000.00
Allan,27,83,Normal,26500000.00,87000.00
F. Acerbi,30,83,Normal,19000000.00,64000.00
Sergi Roberto,26,86,Normal,26500000.00,170000.00
Rodrigo,27,84,Lean,30500000.00,57000.00
Pizzi,28,83,Lean,25500000.00,22000.00
K. Kampl,27,83,Lean,26500000.00,74000.00
Neto,28,84,Lean,21000000.00,41000.00
O. Baumann,28,84,Normal,21000000.00,42000.00
I. Gueye,28,83,Lean,21000000.00,125000.00
H. Mkhitaryan,29,83,Normal,25500000.00,145000.00
Marcos Alonso,27,84,Lean,24000000.00,130000.00
D. Subašić,33,83,Normal,13000000.00,70000.00
K. Glik,30,83,Normal,19000000.00,86000.00
K. Strootman,28,83,Normal,21000000.00,66000.00
B. Dost,29,83,Lean,26000000.00,26000.00
Oscar,26,84,Lean,30500000.00,29000.00
M. Balotelli,27,83,Normal,27500000.00,55000.00
Luiz Gustavo,30,83,Lean,19000000.00,63000.00
Giuliano,28,83,Stocky,26000000.00,64000.00
David Luiz,31,83,Normal,17500000.00,130000.00
R. Fährmann,29,84,Normal,20000000.00,38000.00
Juan Mata,30,83,Lean,24500000.00,160000.00
Adán,31,83,Normal,15500000.00,55000.00
Rui Patrício,30,83,Normal,16500000.00,74000.00
Y. Sommer,29,84,Normal,20000000.00,35000.00
Javi Martínez,29,83,Normal,20000000.00,94000.00
L. Bender,29,83,Lean,20000000.00,82000.00
Lucas Leiva,31,83,Normal,17500000.00,64000.00
S. Mandanda,33,83,Normal,13000000.00,51000.00
Cesc Fàbregas,31,83,Normal,22000000.00,140000.00
M. Dembélé,30,83,Normal,24000000.00,120000.00
F. Ribéry,35,83,Normal,11500000.00,72000.00
R. Jarstein,33,83,Normal,13000000.00,33000.00
D. De Rossi,34,83,Normal,8000000.00,80000.00
Pepe Reina,35,83,Normal,6000000.00,56000.00
J. Pavlenka,26,85,Lean,19500000.00,30000.00
M. de Ligt,18,91,Normal,27000000.00,11000.00
Rodri,22,87,Lean,29000000.00,59000.00
Arthur,21,90,Normal,32500000.00,125000.00
G. Donnarumma,19,93,Normal,29000000.00,23000.00
Rosberto Dourado,30,82,Lean,16500000.00,46000.00
Juiano Mestres,34,82,Normal,6500000.00,39000.00
Raphaelito Anjos,30,82,Normal,14000000.00,32000.00
Gelson Martins,23,87,Lean,29500000.00,59000.00
Gonçalo Guedes,21,86,Normal,29000000.00,36000.00
L. Torreira,22,87,Normal,25000000.00,98000.00
Malcom,21,89,Normal,31500000.00,140000.00
Pau López,23,87,Lean,21500000.00,21000.00
L. Hernández,22,88,Normal,25500000.00,53000.00
C. Lenglet,23,88,Lean,26000000.00,135000.00
A. Kramarić,27,83,Normal,26000000.00,54000.00
A. Robertson,24,87,Lean,24500000.00,98000.00
Dani García,28,83,Stocky,20000000.00,33000.00
F. Bernardeschi,24,87,Lean,29500000.00,110000.00
J. Brandt,22,88,Lean,30500000.00,68000.00
D. Rugani,23,86,Lean,24500000.00,95000.00
Samu Castillejo,23,86,Lean,29000000.00,94000.00
João Cancelo,24,88,Lean,25500000.00,95000.00
A. Romagnoli,23,89,Normal,26500000.00,84000.00
T. Partey,25,88,Lean,25500000.00,59000.00
Fred,25,84,Lean,26500000.00,140000.00
J. Vardy,31,82,Lean,20000000.00,96000.00
A. Belotti,24,87,Normal,30000000.00,58000.00
E. Forsberg,26,83,Normal,26000000.00,67000.00
J. Lingard,25,83,Lean,26500000.00,140000.00
F. Vázquez,29,82,Normal,21500000.00,27000.00
E. Višća,28,82,Lean,22500000.00,40000.00
A. Rüdiger,25,84,Lean,22500000.00,110000.00
A. Florenzi,27,83,Lean,20500000.00,73000.00
H. Maguire,25,85,Stocky,23500000.00,77000.00
T. Meunier,26,83,Normal,21000000.00,87000.00
S. Sané,27,82,Lean,18500000.00,41000.00
G. Kondogbia,25,85,Lean,27500000.00,46000.00
Rafinha,25,87,Normal,29500000.00,165000.00
Gabriel Paulista,27,83,Lean,21000000.00,44000.00
Morata,25,85,Normal,28500000.00,135000.00
J. Cillessen,29,84,Normal,18000000.00,135000.00
W. Ben Yedder,27,82,Normal,23500000.00,28000.00
C. Bakambu,27,83,Normal,26000000.00,33000.00
Pablo Sarabia,26,83,Normal,26000000.00,26000.00
W. Zaha,25,85,Lean,28500000.00,78000.00
Luis Alberto,25,85,Lean,28500000.00,67000.00
Jonathan Viera,28,82,Normal,22500000.00,31000.00
Bartra,27,83,Lean,21000000.00,32000.00
S. Coates,27,83,Normal,21000000.00,19000.00
Willian José,26,83,Normal,26500000.00,44000.00
Mário Fernandes,27,82,Lean,18500000.00,1000.00
Víctor Ruiz,29,83,Normal,19500000.00,43000.00
T. Delaney,26,83,Normal,21500000.00,61000.00
K. Casteels,26,85,Normal,19500000.00,46000.00
M. Götze,26,85,Normal,27000000.00,67000.00
S. Mustafi,26,84,Normal,22500000.00,115000.00
J. Pastore,29,82,Lean,21500000.00,84000.00
Pedro,30,82,Lean,21000000.00,140000.00
G. Bonaventura,28,82,Lean,22000000.00,115000.00
R. Bürki,27,85,Normal,18500000.00,50000.00
Taison,30,82,Lean,21000000.00,1000.00
S. Nzonzi,29,82,Lean,17000000.00,77000.00
Marlos,30,82,Normal,21000000.00,1000.00
A. Ramsey,27,83,Lean,25000000.00,130000.00
K. Trippier,27,82,Normal,18500000.00,99000.00
A. Kolarov,32,82,Normal,12500000.00,73000.00
G. Sigurðsson,28,82,Normal,22500000.00,125000.00
S. Giovinco,31,82,Normal,20000000.00,15000.00
M. Arnautović,29,82,Normal,22000000.00,120000.00
N. Gaitán,30,82,Lean,21000000.00,22000.00
J. Henderson,28,82,Normal,18000000.00,125000.00
M. Kruse,30,82,Normal,21500000.00,45000.00
M. Parolo,33,82,Lean,9000000.00,59000.00
L. Fejsa,29,82,Normal,17000000.00,18000.00
A. Rami,32,82,Normal,12500000.00,57000.00
V. Ćorluka,32,82,Normal,12500000.00,1000.00
G. Wijnaldum,27,82,Lean,23000000.00,130000.00
F. Fazio,31,82,Normal,15000000.00,73000.00
O. Giroud,31,82,Normal,20000000.00,140000.00
Marcano,31,82,Lean,15000000.00,73000.00
A. Guardado,31,82,Lean,19000000.00,35000.00
E. Garay,31,82,Normal,15000000.00,44000.00
Jardel,32,82,Normal,12500000.00,17000.00
S. Sirigu,31,82,Normal,13500000.00,45000.00
E. Viviano,32,82,Stocky,12500000.00,15000.00
L. Koscielny,32,82,Lean,12500000.00,115000.00
A. Consigli,31,82,Lean,13500000.00,52000.00
L. Biglia,32,82,Normal,12500000.00,98000.00
Dani Alves,35,82,Normal,4800000.00,62000.00
David Villa,36,82,Normal,8000000.00,12000.00
Aduriz,37,82,Normal,8000000.00,29000.00
P. Čech,36,82,Normal,3000000.00,60000.00
Casillas,37,82,Normal,1500000.00,10000.00
M. Rashford,20,89,Lean,27000000.00,110000.00
Laure Santeiro,30,81,Lean,17000000.00,40000.00
L. Bailey,20,89,Normal,26500000.00,54000.00
M. Akanji,22,87,Normal,21000000.00,49000.00
F. de Jong,21,89,Lean,26000000.00,19000.00
Nélson Semedo,24,86,Lean,20000000.00,125000.00
Pablo Fornals,22,86,Normal,24000000.00,36000.00
Fabián,22,89,Lean,26000000.00,64000.00
E. Bailly,24,87,Normal,21000000.00,105000.00
Dani Ceballos,21,88,Normal,25000000.00,120000.00
H. Lozano,22,86,Lean,24000000.00,22000.00
Morales,30,81,Lean,17000000.00,33000.00
J. Seri,26,82,Normal,20500000.00,73000.00
M. Politano,24,84,Normal,22500000.00,57000.00
M. Brozović,25,84,Lean,18500000.00,64000.00
Williams,24,87,Lean,24500000.00,31000.00
A. Correa,23,87,Lean,24500000.00,54000.00
A. Christensen,22,88,Lean,21500000.00,91000.00
João Mário,25,84,Normal,22500000.00,71000.00
T. Strakosha,23,86,Lean,17000000.00,36000.00
E. Hysaj,24,86,Normal,20000000.00,58000.00
P. Zieliński,24,88,Lean,24500000.00,64000.00
Ricardo Pereira,24,85,Lean,19000000.00,64000.00
Grimaldo,22,87,Normal,20500000.00,14000.00
R. Guerreiro,24,86,Normal,24000000.00,54000.00
A. Doucouré,25,85,Lean,19500000.00,60000.00
J. Martínez,25,84,Normal,22500000.00,14000.00
C. Bacca,31,81,Normal,16000000.00,45000.00
A. Plea,25,83,Stocky,22000000.00,40000.00
B. Davies,25,84,Lean,18500000.00,87000.00
M. Nastasić,25,84,Normal,18500000.00,36000.00
A. Milik,24,88,Lean,25500000.00,71000.00
M. Sabitzer,24,84,Normal,22500000.00,54000.00
B. Mendy,23,86,Normal,20000000.00,105000.00
C. Kramer,27,82,Lean,17000000.00,35000.00
S. Vrsaljko,26,84,Lean,18000000.00,57000.00
T. Hazard,25,83,Lean,21500000.00,40000.00
K. Bellarabi,28,81,Normal,18000000.00,76000.00
S. Zaza,27,82,Normal,21000000.00,48000.00
F. Ghoulam,27,82,Normal,16500000.00,68000.00
B. Lecomte,27,84,Normal,15000000.00,27000.00
J. Iličić,30,81,Lean,17000000.00,41000.00
K. Volland,25,83,Stocky,22000000.00,76000.00
Paco Alcácer,24,85,Normal,23500000.00,59000.00
Vitolo,28,81,Normal,18000000.00,65000.00
G. Xhaka,25,84,Normal,22000000.00,115000.00
D. Tadić,29,81,Normal,17500000.00,26000.00
C. Aránguiz,29,81,Lean,17000000.00,76000.00
S. Verdi,25,81,Lean,19500000.00,77000.00
D. Lovren,28,82,Normal,16000000.00,115000.00
G. Medel,30,81,Stocky,13000000.00,56000.00
X. Shaqiri,26,81,Shaqiri,19000000.00,130000.00
J. Corona,25,83,Normal,21500000.00,18000.00
A. Areola,25,85,Normal,16500000.00,61000.00
K. Vogt,26,82,Normal,17500000.00,42000.00
Ander Herrera,28,81,Lean,17500000.00,140000.00
E. Salvio,27,81,Stocky,18500000.00,19000.00
S. El Shaarawy,25,82,Lean,21000000.00,77000.00
C. Smalling,28,82,Lean,16000000.00,130000.00
Hulk,31,81,Stocky,15500000.00,25000.00
S. Kagawa,29,81,Lean,17500000.00,65000.00
M. Lanzini,25,85,Lean,23000000.00,90000.00
F. Smolov,28,81,Lean,18500000.00,1000.00
L. Stindl,29,81,Normal,18000000.00,43000.00
O. Toprak,28,82,Normal,16000000.00,59000.00
D. Perotti,29,81,Lean,17500000.00,84000.00
F. Muslera,32,81,Normal,10000000.00,52000.00
B. Höwedes,30,81,Normal,13000000.00,1000.00
S. Kjær,29,81,Normal,14000000.00,23000.00
S. Bender,29,81,Lean,14000000.00,69000.00
M. Valbuena,33,81,Normal,11000000.00,86000.00
Pedro León,31,81,Normal,15500000.00,32000.00
K. Boateng,31,81,Normal,15000000.00,65000.00
L. Piszczek,33,81,Normal,7000000.00,57000.00
A. Candreva,31,81,Normal,15500000.00,74000.00
D. Wass,29,81,Lean,17000000.00,46000.00
E. Lamela,26,82,Lean,21000000.00,105000.00
D. Rose,27,81,Normal,14500000.00,92000.00
C. Vela,29,81,Normal,17500000.00,15000.00
Renato Augusto,30,81,Normal,16500000.00,28000.00
A. Valencia,32,81,Stocky,10000000.00,120000.00
L. Fabiański,33,81,Normal,9000000.00,70000.00
João Moutinho,31,81,Normal,15000000.00,85000.00
Borja Valero,33,81,Normal,11000000.00,74000.00
F. Quagliarella,35,81,Normal,8000000.00,39000.00
B. Gomis,32,81,Normal,14000000.00,56000.00
Manuel Fernandes,32,81,Normal,14000000.00,1000.00
H. Herrera,28,81,Normal,17500000.00,20000.00
Raffael,33,81,Lean,11000000.00,41000.00
Nani,31,81,Lean,15500000.00,19000.00
J. Milner,32,81,Stocky,13500000.00,120000.00
J. Mathieu,34,81,Normal,5500000.00,18000.00
Joaquín,36,81,Normal,6000000.00,24000.00
M. Gómez,21,85,Stocky,20500000.00,25000.00
K. Havertz,19,89,Lean,22000000.00,32000.00
T. Ndombele,21,89,Normal,22500000.00,51000.00
H. Aouar,20,90,Lean,23500000.00,51000.00
Carlos Soler,21,87,Lean,21000000.00,31000.00
Odriozola,22,88,Lean,18500000.00,115000.00
M. Almirón,24,84,Lean,19500000.00,11000.00
Welington Dano,30,80,Lean,10500000.00,34000.00
Everton Andrão,34,80,Stocky,4500000.00,34000.00
Oyarzabal,21,87,Lean,21000000.00,29000.00
F. Balbuena,26,83,Normal,15500000.00,80000.00
M. Marega,27,80,Stocky,16000000.00,19000.00
B. Pavard,22,86,Lean,17500000.00,33000.00
W. Ndidi,21,85,Lean,17000000.00,50000.00
A. Onana,22,85,Stocky,14500000.00,14000.00
G. Lo Celso,22,86,Normal,20000000.00,72000.00
M. Acuña,26,80,Stocky,12500000.00,16000.00
Rúben Neves,21,87,Normal,20500000.00,59000.00
Mariano,24,85,Normal,20000000.00,140000.00
Raúl,28,80,Normal,12000000.00,19000.00
M. Caldara,24,86,Normal,17500000.00,73000.00
M. Vecino,26,81,Lean,14500000.00,63000.00
T. Bakayoko,23,85,Lean,17000000.00,85000.00
M. Dahoud,22,86,Lean,20000000.00,50000.00
Rafa,25,83,Lean,18500000.00,17000.00
K. Baldé,23,85,Normal,20000000.00,65000.00
G. Rulli,26,85,Lean,14000000.00,26000.00
F. Armani,31,80,Normal,9000000.00,22000.00
Rony Lopes,22,85,Stocky,20000000.00,65000.00
Santi Mina,22,85,Normal,20000000.00,40000.00
K. Demirbay,24,84,Lean,19500000.00,37000.00
Gayà,23,85,Lean,16500000.00,33000.00
André Gomes,24,85,Normal,19500000.00,130000.00
N. Tagliafico,25,82,Normal,15000000.00,20000.00
M. Sanson,23,85,Normal,19500000.00,47000.00
Pacheco,26,83,Normal,13000000.00,23000.00
E. Can,24,85,Normal,19500000.00,91000.00
H. Çalhanoğlu,24,84,Normal,19500000.00,89000.00
M. Ginter,24,82,Normal,15500000.00,28000.00
M. Keane,25,83,Normal,15500000.00,88000.00
L. Paredes,24,85,Normal,0.00,0.00
T. Stepanenko,28,80,Normal,12000000.00,1000.00
L. Shaw,22,85,Stocky,16500000.00,96000.00
Z. Feddal,28,80,Lean,12000000.00,29000.00
S. Haller,24,83,Normal,19000000.00,41000.00
Bernard,25,81,Lean,17500000.00,97000.00
T. Inui,30,80,Lean,14000000.00,30000.00
Portu,26,81,Normal,17500000.00,37000.00
M. Batshuayi,24,84,Normal,19500000.00,105000.00
E. Zahavi,30,80,Normal,14500000.00,24000.00
T. Vaclík,29,81,Normal,11500000.00,17000.00
N. Pope,26,83,Lean,13000000.00,48000.00
Héctor Bellerín,23,85,Lean,16500000.00,85000.00
P. Kadeřábek,26,81,Normal,14000000.00,39000.00
J. Butland,25,85,Normal,14000000.00,39000.00
J. Vestergaard,25,81,Normal,14500000.00,51000.00
J. Tarkowski,25,83,Normal,15500000.00,56000.00
Deulofeu,24,82,Normal,18500000.00,56000.00
E. Dier,24,84,Normal,16500000.00,73000.00
J. Murillo,26,84,Normal,16000000.00,38000.00
M. Badelj,29,80,Lean,11500000.00,53000.00
Ismaily,28,80,Stocky,11500000.00,1000.00
N. Schulz,25,81,Normal,14500000.00,37000.00
L. Digne,24,84,Lean,16000000.00,79000.00
M. Uth,26,81,Lean,17500000.00,42000.00
Cristian Tello,26,80,Lean,16000000.00,30000.00
D. Vida,29,80,Lean,11500000.00,55000.00
L. Muriel,27,81,Stocky,17500000.00,24000.00
V. Aboubakar,26,82,Normal,18000000.00,19000.00
A. Oxlade-Chamberlain,24,85,Stocky,19500000.00,94000.00
S. Aurier,25,83,Normal,15500000.00,82000.00
J. Matip,26,82,Lean,15000000.00,99000.00
Y. Rakitskyi,28,80,Normal,12000000.00,1000.00
Sergi Enrich,28,80,Stocky,15500000.00,34000.00
A. Yarmolenko,28,80,Lean,15000000.00,92000.00
Hugo Mallo,27,81,Normal,13500000.00,27000.00
André Almeida,27,80,Normal,12000000.00,15000.00
D. Didavi,28,80,Normal,15000000.00,44000.00
R. Rodríguez,25,83,Normal,15500000.00,81000.00
R. Pereyra,27,80,Lean,15500000.00,65000.00
Mario Gaspar,27,80,Normal,12000000.00,35000.00
Maicon,29,80,Normal,11500000.00,63000.00
D. Blind,28,80,Normal,12000000.00,22000.00
J. Zoet,27,83,Normal,12500000.00,16000.00
A. Ljajić,26,81,Lean,17500000.00,52000.00
Canales,27,80,Lean,15500000.00,30000.00
Iago Falqué,28,80,Normal,15000000.00,59000.00
L. de Jong,27,80,Normal,16000000.00,23000.00
Guaita,31,80,Normal,9000000.00,48000.00
Muniain,25,83,Normal,18500000.00,31000.00
Susaeta,30,80,Lean,14000000.00,33000.00
S. Rudy,28,80,Lean,12000000.00,37000.00
K. Trapp,27,81,Normal,11500000.00,61000.00
V. Wanyama,27,82,Normal,14500000.00,86000.00
N. Nkoulou,28,80,Lean,12000000.00,50000.00
R. Boudebouz,28,80,Lean,15000000.00,31000.00
Camacho,28,81,Lean,13500000.00,51000.00
S. Ulreich,29,80,Lean,10000000.00,61000.00
M. Musacchio,27,80,Normal,12500000.00,85000.00
C. Stuani,31,80,Lean,13500000.00,41000.00
P. Gulácsi,28,80,Normal,10500000.00,45000.00
Bruno,34,80,Normal,7000000.00,39000.00
F. Delph,28,80,Lean,11500000.00,120000.00
A. Lallana,30,80,Lean,13500000.00,110000.00
Marcelo,31,80,Normal,10000000.00,64000.00
S. Coleman,29,80,Normal,11000000.00,97000.00
Alexandre Pato,28,80,Normal,15500000.00,35000.00
Antunes,31,80,Normal,9500000.00,27000.00
Nacho Monreal,32,80,Lean,8000000.00,99000.00
Beñat,31,80,Normal,12500000.00,30000.00
A. Fernández,32,80,Lean,11000000.00,20000.00
K. Gameiro,31,80,Normal,13500000.00,45000.00
I. Piatti,33,80,Lean,9000000.00,13000.00
V. Birsa,31,80,Normal,13000000.00,23000.00
S. Romero,31,80,Normal,9000000.00,91000.00
D. Criscito,31,80,Normal,10000000.00,21000.00
D. Valeri,32,80,Lean,11500000.00,12000.00
